num_qubits,SWAP_Naive,SWAP_SABRE,SWAP_Naive_Dev,SWAP_SABRE_Dev
2,8.28,0.0,4.964030620372924,0.0
3,16.56,0.0,6.788696487544571,0.0
4,26.52,1.84,10.25912276951592,1.6894969665554302
5,33.2,3.26,11.063453348751464,1.775499929597295
6,43.2,4.24,13.891004283348272,2.462194143441983
7,51.64,7.4,12.823041760830383,4.256759330758553
8,59.12,9.9,13.476854232349625,5.622277118748238
9,70.36,11.72,14.558516407931132,4.939797566702506
10,76.76,16.1,19.737841827312327,4.7
11,81.72,19.2,17.134806681138834,5.99666574022598
12,96.16,22.66,17.623121176454525,7.450127515687232
13,104.02,27.4,19.79342315012742,7.866384175718855
14,112.86,33.18,16.54691512034796,7.458391247447401
15,120.68,35.72,20.585859224234483,7.334957395922623
16,128.6,44.5,20.296797776989354,10.319399207318224
17,138.2,49.62,23.80924190309301,12.112621516418319
18,148.54,54.02,23.55267288440953,11.932292319583862
19,154.4,57.72,24.648732218919495,14.48729098209876
20,164.84,66.9,19.26796304750453,12.555875118843767
21,172.08,69.84,20.12047713151952,14.533217124917662
22,179.86,74.92,27.10351268747282,13.088682133813167
23,191.2,83.78,25.74257174409736,14.839528294389954
24,201.62,83.08,27.154292478354137,14.554504457383633
